[arm_lr_sched] arm=lr_sched steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=1.0 bn_frozen=22
[arm_lr_sched] step 14600/18000 loss_se=0.4542 pres=0.0000 lr=1.81e-06 t=1554s
[arm_lr_sched] step 14800/18000 loss_se=-0.9385 pres=0.0000 lr=1.72e-06 t=1575s
[arm_lr_sched] step 15000/18000 loss_se=-0.6295 pres=0.0000 lr=1.64e-06 t=1597s
[arm_lr_sched] step 15200/18000 loss_se=-0.3552 pres=0.0000 lr=1.56e-06 t=1617s
[arm_lr_sched] step 15400/18000 loss_se=0.7618 pres=0.0000 lr=1.48e-06 t=1638s
[arm_lr_sched] step 15600/18000 loss_se=-0.0776 pres=0.0000 lr=1.41e-06 t=1659s
[arm_lr_sched] step 15800/18000 loss_se=0.6239 pres=0.0000 lr=1.35e-06 t=1680s
[arm_lr_sched] step 16000/18000 loss_se=0.1957 pres=0.0000 lr=1.29e-06 t=1701s
[arm_lr_sched] *** VAL step 16000: SE-loss=0.2409 SI-SDR=18.45dB
[arm_lr_sched] step 16200/18000 loss_se=0.7737 pres=0.0000 lr=1.23e-06 t=1723s
[arm_lr_sched] step 16400/18000 loss_se=0.3478 pres=0.0000 lr=1.18e-06 t=1744s
[arm_lr_sched] step 16600/18000 loss_se=-0.3192 pres=0.0000 lr=1.14e-06 t=1765s
[arm_lr_sched] step 16800/18000 loss_se=0.2038 pres=0.0000 lr=1.10e-06 t=1786s
[arm_lr_sched] step 17000/18000 loss_se=1.4304 pres=0.0000 lr=1.07e-06 t=1807s
[arm_lr_sched] step 17200/18000 loss_se=0.1813 pres=0.0000 lr=1.05e-06 t=1828s
[arm_lr_sched] step 17400/18000 loss_se=0.0577 pres=0.0000 lr=1.03e-06 t=1849s
[arm_lr_sched] step 17600/18000 loss_se=-1.0933 pres=0.0000 lr=1.01e-06 t=1870s
[arm_lr_sched] step 17800/18000 loss_se=-0.5621 pres=0.0000 lr=1.00e-06 t=1890s
[arm_lr_sched] step 18000/18000 loss_se=0.7415 pres=0.0000 lr=1.00e-06 t=1911s
[arm_lr_sched] *** VAL step 18000: SE-loss=0.2403 SI-SDR=18.45dB
=== [arm_lr_sched] DONE 1912.4s (9.41 steps/s) best_val=0.2403 peak_vram=941MB ===
