[arm_preserve] arm=preserve steps=18000 batch=8 base_lr=1e-05 lamda_sisnr=0.3 bn_frozen=22
/content/ulunas-robot-proxy-poc/SEtrain_adapted/train_arm.py:150: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  "loss_se": l_se.item(), "loss_pres": float(l_pres),
[arm_preserve] step 15400/18000 loss_se=1.9483 pres=0.0055 lr=1.00e-05 t=1679s
[arm_preserve] step 15600/18000 loss_se=1.2053 pres=0.0037 lr=1.00e-05 t=1700s
[arm_preserve] step 15800/18000 loss_se=1.5541 pres=0.0047 lr=1.00e-05 t=1722s
[arm_preserve] step 16000/18000 loss_se=1.3641 pres=0.0047 lr=1.00e-05 t=1744s
[arm_preserve] *** VAL step 16000: SE-loss=1.5351 SI-SDR=18.39dB
[arm_preserve] step 16200/18000 loss_se=1.8259 pres=0.0047 lr=1.00e-05 t=1766s
[arm_preserve] step 16400/18000 loss_se=1.5918 pres=0.0048 lr=1.00e-05 t=1788s
[arm_preserve] step 16600/18000 loss_se=1.0325 pres=0.0033 lr=1.00e-05 t=1809s
[arm_preserve] step 16800/18000 loss_se=1.4389 pres=0.0050 lr=1.00e-05 t=1831s
[arm_preserve] step 17000/18000 loss_se=2.4628 pres=0.0066 lr=1.00e-05 t=1853s
[arm_preserve] step 17200/18000 loss_se=1.2445 pres=0.0037 lr=1.00e-05 t=1874s
[arm_preserve] step 17400/18000 loss_se=1.4040 pres=0.0046 lr=1.00e-05 t=1895s
[arm_preserve] step 17600/18000 loss_se=0.3815 pres=0.0020 lr=1.00e-05 t=1917s
[arm_preserve] step 17800/18000 loss_se=0.8787 pres=0.0032 lr=1.00e-05 t=1936s
[arm_preserve] step 18000/18000 loss_se=2.0238 pres=0.0054 lr=1.00e-05 t=1954s
[arm_preserve] *** VAL step 18000: SE-loss=1.5332 SI-SDR=18.42dB
=== [arm_preserve] DONE 1954.6s (9.21 steps/s) best_val=1.5332 peak_vram=941MB ===
